twitter_username,name,followers_count,user_tweet_count,created_at,id,query_tweet_count
masason,孫正義,2902701,6101,2009-12-24T02:26:24.000Z,99008565,28905
aaronpaul_8,Aaron Paul,2548607,31,2011-07-10T05:01:54.000Z,332638587,3372
PaulMcCartney,Paul McCartney,4176238,5758,2009-09-16T11:55:21.000Z,74712538,95071
TheMandyMoore,Mandy Moore,2321276,5908,2009-02-24T17:39:42.000Z,21774892,16929
adamlambert,ADAM LAMBERT,2338681,9365,2009-06-12T04:03:30.000Z,46576295,187294
anandmahindra,anand mahindra,8539153,22370,2009-04-22T05:40:01.000Z,34197952,222543
BillNye,Bill Nye,6130100,2498,2009-05-04T17:42:04.000Z,37710752,23989
OlaAlfares,عُلا الفارس,4921176,7488,2011-06-10T12:46:01.000Z,314547227,94065
showimah,Soimah Pancawati,2772309,9249,2010-03-15T10:10:48.000Z,123206116,237
greysonchance,Greyson Chance,2502032,9804,2010-05-16T03:59:01.000Z,144380789,23791
JimGaffigan,Jim Gaffigan,3224061,20309,2007-06-03T11:09:19.000Z,6539592,190871
DENISE_RICHARDS,Denise Richards,2130847,14461,2009-03-15T13:33:30.000Z,24523660,2800
stephenasmith,Stephen A Smith,5495775,40341,2008-09-15T21:19:57.000Z,16302242,447346
RichardHammond,Richard Hammond,3070534,2841,2011-01-27T15:03:53.000Z,243662948,11531
ristomejide,Risto Mejide 🕶,2739306,32662,2009-09-17T11:48:42.000Z,74992460,111153
iqbaale,iqbaal ramadhan,2766276,15526,2010-05-07T11:41:28.000Z,141186163,30992
ThisisDavina,Davina McCall,2710244,44556,2009-06-02T11:25:03.000Z,44101412,95707
D_Ospina1,David Ospina,3303444,484,2013-05-31T01:38:34.000Z,1471068170,2732
emreaydin,emre aydın,3162368,4472,2009-08-27T13:45:05.000Z,69293780,5290
raphaelvarane,Raphaël Varane,6838624,1656,2012-04-10T13:41:55.000Z,550202880,36962
JAlvarezFlow,J Alvarez,3413093,72355,2009-11-02T15:22:28.000Z,86962432,4090
xtianbautista,Christian Bautista,3374827,26325,2009-03-23T04:44:53.000Z,25954814,33882
carterreynolds,Carter Reynolds,2603243,18382,2011-08-29T00:12:16.000Z,363961928,1542
KyrieIrving,A11Even,4358384,3334,2011-06-14T20:50:16.000Z,317370751,178893
YosriFouda,Yosri Fouda,3699852,4212,2010-09-11T17:50:36.000Z,189591533,95
iloveruffag,Ruffa Gutierrez,3036252,49667,2009-07-11T04:08:35.000Z,55753842,8335
jccaylen,j,6456829,41012,2010-05-02T23:22:27.000Z,139539038,214347
shymofficiel,Shy'm,2890051,16337,2010-03-22T19:53:45.000Z,125430181,2904
Bourdain,Anthony Bourdain,6687115,13379,2008-04-10T17:46:33.000Z,14353392,1995
RachelZoe,Rachel Zoe,3553899,16472,2009-04-12T19:29:05.000Z,30704824,840
djkhaled,DJ KHALED,5297774,96440,2009-03-30T16:29:14.000Z,27673684,93866
angelicavale,Angelica Vale,2603612,21376,2009-06-01T09:42:01.000Z,43859592,28728
jasonsegel,Jason Segel,2035147,332,2011-11-08T20:23:30.000Z,407977463,6184
dhikacungkring,andhika pratama,2693608,34087,2010-02-16T14:38:19.000Z,114761346,126
robbiewilliams,Robbie Williams,2465540,5492,2009-08-28T15:08:55.000Z,69610339,16952
MrJamesMay,James May,3180039,12506,2009-11-26T10:26:59.000Z,92727851,28437
ImZaheer,zaheer khan,5977494,1213,2010-01-28T14:33:48.000Z,109275593,10560
lottietommo,Lottie Tomlinson,2442101,5020,2011-03-26T19:23:56.000Z,272561314,1668
JackHarries,Jackson Harries,1786677,8672,2011-06-12T17:15:29.000Z,315919021,691
HeffronDrive,Kendall Schmidt,2186225,12603,2009-04-09T02:35:33.000Z,29898542,13812
anakarylle,karylle,4308229,31650,2009-09-28T15:02:48.000Z,78035324,39052
elmorenomichael,EL MORENO MICHAEL,1284745,43432,2010-08-27T19:13:22.000Z,183731193,590
JeremyBieber,Jeremy Bieber,2205463,6167,2009-11-05T21:00:35.000Z,87781747,3502
NathanKress,Nathan Kress,2333446,7648,2009-03-03T06:02:24.000Z,22592948,6870
HARDWELL,Hardwell,7244111,12189,2009-02-24T19:38:00.000Z,21787625,6421
Charlottegshore,Charlotte Crosby,2853732,36687,2011-04-06T16:23:31.000Z,278103138,7654
sarseh,sarah sechan,2451155,22396,2009-07-29T02:39:16.000Z,61091504,77
Hadise,HADISE ACIKGOZ,3378873,6443,2009-06-11T10:09:40.000Z,46357464,22286
Cyrilhanouna,Cyril Hanouna,5923344,14114,2011-09-23T14:55:32.000Z,378632690,385843
twhiddleston,Tom Hiddleston,4330667,1848,2011-10-14T23:20:46.000Z,391037985,45672
manaoficial,Maná,2689531,6596,2009-12-09T19:36:28.000Z,95715393,5510
CMPunk,player/coach,2717695,20633,2010-08-11T22:19:44.000Z,177345928,39298
MarcusButler,Marcus Butler,2910751,12038,2009-10-12T12:03:58.000Z,81825702,309
kojiharunyan,小嶋 陽菜,3096200,12841,2010-04-20T06:57:44.000Z,135064055,35652
andrescepeda,Andrés Cepeda,3158099,17590,2010-05-22T22:21:47.000Z,146985042,8116
pattonoswalt,Patton Oswalt,4773280,53700,2010-05-01T19:00:10.000Z,139162440,659088
TripleH,Triple H,7553928,7486,2011-08-15T19:31:15.000Z,355708717,134794
JodiStaMaria,Jodi Sta.Maria,3216461,14451,2010-02-12T11:07:15.000Z,113603164,11095
sebastianrulli,Sebastian Rulli,2904183,22090,2009-12-08T19:16:04.000Z,95482484,10109
carlosbaute,Carlos Baute,2528383,9254,2009-07-18T11:32:25.000Z,57912874,1490
AudrinaPatridge,Audrina Patridge,1963591,6737,2009-06-18T16:18:28.000Z,48399528,139
dannapaola,Danna Paola,5692911,24035,2010-02-07T03:48:13.000Z,112057739,321448
siyovushdustov,Siyovush Dustov,418448,3,2012-02-28T06:59:04.000Z,507005731,3
k_alshenaif,خالد الشنيف,5023083,43511,2010-07-10T06:00:50.000Z,164963639,33298
officialpepe,Pepe,3535312,493,2011-07-11T17:54:04.000Z,333534411,14127
LeventUzumcu,Levent Üzümcü,5277964,47957,2009-12-26T19:57:45.000Z,99564663,159593
nxzerooficial,NX Zero,2266890,13271,2009-03-10T00:49:09.000Z,23532872,656
ShaneWarne,Shane Warne,3636959,19156,2009-11-03T05:46:36.000Z,87118217,85884
AdnanAlarour,عدنان العرعور,3264120,8990,2011-03-25T11:33:54.000Z,271890651,4252
Dynamomagician,Dynamo,2008133,34914,2009-04-06T19:04:23.000Z,29268463,4144
booba,Booba,5670387,5176,2010-08-17T14:31:18.000Z,179530581,368975
MustafaHosny,Mustafa Hosny,10813180,47420,2009-07-27T12:01:36.000Z,60576219,292775
FrencHMonTanA,French Montana,3012812,32231,2009-01-06T00:34:55.000Z,18653699,22961
KeithUrban,Keith Urban,4167118,8473,2008-05-15T19:48:00.000Z,14790817,21586
xuxameneghel,Xuxa Meneghel,2646128,5558,2008-01-10T17:41:41.000Z,12078472,29475
cala,Ismael Cala,3159383,100970,2009-04-01T05:39:36.000Z,28058878,37018
mariko_dayo,篠田麻里子,2404474,18709,2010-07-04T08:10:12.000Z,162644645,11904
danimartinezweb,Dani Martínez,2423928,30818,2009-12-27T22:02:30.000Z,99792462,29453
NajwaShihab,Najwa Shihab,7830727,25835,2008-10-22T21:15:07.000Z,16912985,20092
AdalRamones,Adal Ramones,2681681,37447,2009-12-11T19:22:41.000Z,96187825,1773
belalfadl,Belal Fadl,3857806,23908,2010-07-03T03:20:32.000Z,162248086,5539
OficialGio,Giovani Dos Santos,3414692,1680,2012-05-08T14:19:32.000Z,574511063,7860
woodyinho,Marco Reus,3078978,271,2011-08-24T10:02:46.000Z,361150095,10644
bobsaget,bob saget,2246211,3201,2009-05-07T22:40:55.000Z,38536306,14194
TomFelton,Tom Felton,3147996,10350,2009-03-02T22:53:32.000Z,22548403,222152
MrsSOsbourne,Sharon Osbourne,2346546,5722,2009-05-29T06:05:07.000Z,43283406,117832
MartinGarrix,MARTIN GARRIX,8535965,16809,2010-04-17T20:56:22.000Z,134234000,23134
SteveNash,Steve Nash,2590369,4573,2009-02-09T04:44:08.000Z,20416406,12716
omeshomesh,ananda omesh,2335412,14845,2009-07-22T11:30:16.000Z,59101459,202
jotaquest,Jota Quest,3220244,29817,2008-06-13T04:25:42.000Z,15104212,1480
mariashriver,Maria Shriver,2161966,20250,2009-01-22T21:23:52.000Z,19362341,116769
esmuellert_,Thomas Müller,4461412,2352,2013-08-14T10:58:28.000Z,1670174994,44062
